account_name_en,account_name_cn_x,year,cost_center_x,income_amt,gross_profit_amt,human_cost_amt,service_outsourcing_amt,labor_service_outsourcing_amt,account_name_cn_y,cost_center_y,人力,场地,增值,报关代理,操作,短驳运输,索赔及返利,设备使用,bms_total,operation_fee,op_pct,wh_pct,va_pct,type
Volvo Car Corporation,沃尔沃汽车,2020,"{'VOLVOGZHPS', 'VOLVOSHY2S'}",36996898.38,4312381.9100000085,4216614.88,1035044.8800000001,4101903.4,沃尔沃汽车,"{'VOLVOGZHPS', 'VOLVOSHY2S'}",101536.93245283018,1228600.355599257,287225.4122404912,0.0,484958.2051701259,0.0,0.0,168592.5788993711,2270913.484362075,586495.1376229561,0.2582639724770092,0.5410159233540262,0.12648012098143668,仓储型
Volvo Car Corporation,沃尔沃汽车,2021,"{'VOLVOGZHPS', 'VOLVOSHY2S'}",35244574.51,3112721.0399999954,4191286.5,1425683.06,4516967.13,沃尔沃汽车,"{'VOLVOGZHPS', 'VOLVOSHY2S'}",111779.9072327044,1634827.8898982047,544527.5110669362,0.0,768862.1021535351,0.0,0.0,288758.60761973873,3348756.017971119,880642.0093862396,0.2629758646674374,0.48818960865613714,0.16260590743091646,平衡型
Wuxi Lead Intelligent Equipment,无锡先导智能装备,2021,{'LEADXWXCNS'},1152744.24,103041.62000000007,10297.11,0.0,0.0,无锡先导智能装备,{'LEADXWXCNS'},0.0,369099.9905660377,0.0,0.0,0.0,0.0,0.0,0.0,369099.9905660377,0.0,0.0,1.0,0.0,仓储型
ZEBRA TECHNOLOGIES,斑马技术,2020,"{'ZEBRASHALV', 'ZEBRASHALS'}",12954155.72,2518818.5300000007,1946865.24,158331.91000000006,2430706.3,斑马技术,"{'ZEBRASHALV', 'ZEBRASHALS'}",187397.4995317475,262038.00337141787,66979.11906099769,0.0,62195.51414122495,0.0,0.0,14160.001873009927,592770.137978398,249593.01367297245,0.4210620570803252,0.4420566870407483,0.11299340970418212,平衡型
Arte Jewellery,Arte珠宝,2021,{'ARTEXSHWHS'},237059.21,40595.35999999999,35799.54,485.77,0.0,Arte珠宝,{'ARTEXSHWHS'},0.0,33243.19169811321,0.0,0.0,132642.73113207548,14600.928390167906,0.0,0.0,180486.85122035662,132642.73113207548,0.7349163123807385,0.18418622449968144,0.0,操作型
BAT,英美烟草,2021,{'BATXXSZQHS'},1187720.0,192347.38999999996,33581.21,83.8,0.0,英美烟草,{'BATXXSZQHS'},0.0,56690.0,0.0,160.0,122959.04761904762,16584.0,0.0,0.0,196393.04761904763,122959.04761904762,0.6260865601391185,0.2886558393348227,0.0,操作型
BMW Brilliance Automotive,华晨宝马,2020,"{'BMWXXCDTRT', 'BMWXXYJBMS', 'BMWXXBJTRT', 'BMWIMSYXXS', 'BMWIMSYTRT', 'BMWXXSYTRT', 'BMWXXSHYSS', 'BMWXXHFSFS', 'BMWIMBJTRT', 'BMWXXFSTRT', 'BMWXXSHTRD', 'BMWXXGDTRD'}",384343507.09,30823931.910000008,12560249.52,9634720.700000001,5066696.48,华晨宝马,"{'BMWIMSYXXS', 'BMWXXSHYSS', 'BMWXXYJBMS'}",194356.03958333336,759063.9292452831,9536142.716981133,864921.6509433963,-143604349.53330502,0.0,0.0,0.0,-132249865.19655187,-143409993.4937217,1.0843866893972516,-0.005739619682161113,-0.07210701275807249,操作型
BURBERRY,博柏利,2020,"{'BURBYSHDQS', 'BURBYI176S'}",39317479.28,9864385.879999995,9927388.78,1823029.7600000002,2314991.33,博柏利,{'BURBYSHDQS'},61830.58570954026,20218.590094339626,42898.178032954835,0.0,58106.20566037737,0.0,0.0,153632.56132075473,336686.1208179668,119936.79136991763,0.3562273107027267,0.060051748035289634,0.12741296828255128,平衡型
BURBERRY,博柏利,2021,"{'BURBYSHDQS', 'BURBYI176S'}",43567817.28,9577358.179999996,10326382.57,1935704.43,3072001.76,博柏利,{'BURBYSHDQS'},218379.90265592176,126255.85862084458,197340.38700893367,0.0,73209.87601930094,66358.76,0.0,200398.64389188378,881943.4281968847,291589.7786752227,0.33062186230172613,0.14315641410126737,0.22375628719451093,平衡型
Bright Dairy,光明乳业,2021,{'BRIDADGXSS'},163995.93,163628.4,0.0,0.0,0.0,光明乳业,{'BRIDADGXSS'},0.0,53838.881320754714,0.0,0.0,71283.01886792453,0.0,0.0,0.0,125121.90018867925,71283.01886792453,0.5697085702857161,0.4302914297142838,0.0,操作型
COACH,蔻驰,2021,{'COACHSHSFR'},5210750.86,1025410.4800000002,115744.31999999999,541.91,0.0,蔻驰,{'COACHSHSFR'},0.0,0.0,0.0,0.0,0.0,873.1146986809189,0.0,0.0,873.1146986809189,0.0,0.0,0.0,0.0,平衡型
CVTE,视源电子科技,2021,{'CVTESGZTRD'},2278345.13,-160840.7100000002,689599.76,215674.99,884874.29,视源电子科技,{'CVTESGZTRD'},27790.377358490565,177619.38207547172,9387.292452830188,0.0,381577.0,0.0,678.9811320754707,0.0,597053.033018868,409367.37735849054,0.6856465920432797,0.29749347587663727,0.015722711273009365,操作型
Changzhou Taochen Technology,常州涛晨电子科技,2021,{'TAOCHCZIHS'},820233.22,74629.3199999999,37692.39000000001,690669.11,0.0,常州涛晨电子科技,{'TAOCHCZIHS'},158107.47075471698,7958.337547169811,0.0,0.0,0.0,0.0,0.0,0.0,166065.8083018868,158107.47075471698,0.9520772058465968,0.04792279415340304,0.0,操作型
Corning,康宁,2021,{'CORNGWHIHS'},3401737.99,181800.51000000062,71061.26,152.48000000000002,0.0,康宁,{'CORNGWHIHS'},296038.4055305072,2465.09,0.0,0.0,0.0,0.0,0.0,0.0,298503.49553050724,296038.4055305072,0.9917418387492615,0.008258161250738407,0.0,操作型
DHL Supply Chain,敦豪物流 供应链,2021,{'SCREESHZCS'},711289.3799999999,194289.12999999992,143979.80000000002,1100.65,0.0,敦豪物流 供应链,{'SCREESHZCS'},0.0,3663.2075471698113,0.0,181640.6442799118,10546.698113207545,39424.77064220183,0.0,0.0,235275.320582491,10546.698113207545,0.04482704810303177,0.015569875914313915,0.0,平衡型
DSC Logistics,敦豪物流 供应链物流,2021,{'SCREESHZCS'},711289.3799999999,194289.12999999992,143979.80000000002,1100.65,0.0,敦豪物流 供应链物流,{'SCREESHZCS'},0.0,3663.2075471698113,0.0,181640.6442799118,10546.698113207545,39424.77064220183,0.0,0.0,235275.320582491,10546.698113207545,0.04482704810303177,0.015569875914313915,0.0,平衡型
DXC Technology,DXC科技,2020,"{'DXCXXBJTRT', 'DXCXXBJXWS'}",860248.91,173038.42999999996,180538.87,-14200.890000000001,-118.02,DXC科技,{'DXCXXBJXWS'},98100.0,61155.0,0.0,0.0,2024.0,0.0,0.0,0.0,161279.0,100124.0,0.6208123810291483,0.37918761897085174,0.0,操作型
DXC Technology,DXC科技,2021,"{'DXCXXBJTRT', 'DXCXXBJXWS'}",640902.95,103007.92000000004,153139.03,19262.27,0.0,DXC科技,{'DXCXXBJXWS'},94800.0,47808.268,0.0,0.0,6812.0,0.0,0.0,0.0,149420.26799999998,101612.0,0.6800416125608877,0.31995838743911237,0.0,操作型
Dell,戴尔,2020,"{'DELLSSHALS', 'DELLSSHY2S', 'DELLSBJTRT', 'DELLSGHD2S', 'DELLSGZTRT', 'DELLSBJXWS', 'DELLSSHTRT'}",38897483.62,10429516.739999995,7244715.86,367163.23,4225797.19,戴尔,"{'DELLSBJXWS', 'DELLSSHY2S', 'DELLSSHALS', 'DELLSGHD2S'}",118970.40152203437,1979678.2096522832,39781.12834951456,11788.11108265275,4995909.894479562,0.0,0.0,6674.5,7152802.245086046,5114880.296001596,0.7150876147198818,0.27676959907738485,0.005561614453530304,操作型
Dongguan Shunbang Logistics,顺邦国际物流,2020,{'STARBGZHPS'},31840743.220000017,1661098.9500000218,4207282.04,1725180.32,3841279.02,顺邦国际物流,{'STARBGZHPS'},2510706.25,173421.28144654087,0.0,0.0,241.33790737564323,0.0,0.0,772554.6632075472,3456923.532561464,2510947.587907376,0.726353234098542,0.05016636318768716,0.0,操作型
Dongguan Shunbang Logistics,顺邦国际物流,2021,"{'STARBGZHPS', 'STARBHZSCS', 'STARBBJZWS'}",34700787.240000024,-1155267.3399999733,3663850.5400000005,3257653.47,5089932.470000001,顺邦国际物流,"{'STARBGZHPS', 'STARBHZSCS', 'STARBBJZWS'}",1534227.28692185,878034.2416368483,170403.7733902085,0.0,388295.8113895744,91150.5,0.0,1610849.6913821897,4672961.304720671,1922523.0983114243,0.4114142987593911,0.18789674991527314,0.03646590722205744,平衡型
ECCO,爱步,2021,"{'ECCOXDGXSS', 'ECCOXSHSJS', 'ECCOXSHTRR'}",11076181.48,-6417057.900000002,1669580.16,1554915.79,2443366.22,爱步,"{'ECCOXDGXSS', 'ECCOXSHSJS', 'ECCOXSHTRR'}",57641.91981132075,268166.9840345912,147121.48868186216,0.0,274729.56625080283,1441.919336456827,0.0,44200.0,793301.8781150337,332371.48606212356,0.418972266713741,0.33803901318345964,0.18545460781138934,平衡型
Evisu Group,惠美寿集团,2020,"{'EVISUSHDQR', 'EVISUSHDQD', 'EVISUSHDQS', 'EVISUSHTRT'}",8824273.08,-924867.4700000003,932325.26,1125800.5,373810.13,惠美寿集团,"{'EVISUSHDQR', 'EVISUSHDQS'}",145228.39622641512,243823.5141509434,52830.2667115903,0.0,135440.71518418688,12.830188679245284,0.0,10188.67924528302,587524.401707098,280669.111410602,0.477714815921,0.41500151047768424,0.08992012341630039,平衡型
Evisu Group,惠美寿集团,2021,"{'EVISUSHDQR', 'EVISUSHDQD', 'EVISUSHDQS', 'EVISUSHTRT', 'EVISUSHDQV'}",9507237.95,-236798.52000000028,890763.5,1432407.56,379607.8,惠美寿集团,"{'EVISUSHDQR', 'EVISUSHDQS', 'EVISUSHDQV'}",447058.5635534591,501342.0581761006,98388.00644654088,0.0,264865.4797993411,29233.504878080104,0.0,65952.43710691824,1406840.0499604403,711924.0433528002,0.5060447656240802,0.35636038239755696,0.06993546028868564,操作型
FERRERO,费列罗,2020,{'FERRECDXXS'},1699763.1700000002,592063.8300000001,166365.69,5241.25,143924.24000000002,费列罗,{'FERRECDXXS'},0.0,0.0,26368.65,0.0,859363.674009434,0.0,0.0,0.0,885732.324009434,859363.674009434,0.97022954984793,0.0,0.029770450152070038,操作型
FERRERO,费列罗,2021,{'FERRECDXXS'},1527960.77,440054.51999999984,153217.75,1017.53,126391.32,费列罗,{'FERRECDXXS'},0.0,807050.8373584906,36879.59716981132,0.0,989906.3066981132,0.0,0.0,0.0,1833836.7412264151,989906.3066981132,0.539800672788404,0.4400887053984746,0.020110621813121354,操作型
Fugui Pingan,富贵平安,2021,{'PINGATJXQS'},31118975.320000008,245456.6100000071,107006.40999999996,546.33,0.0,富贵平安,{'PINGATJXQS'},0.0,1280922.7987421383,0.0,0.0,26172387.57861635,0.0,0.0,60505.18867924528,27513815.566037733,26172387.57861635,0.9512452940523014,0.046555622053499286,0.0,操作型
Fuji Xerox,富士施乐,2020,"{'FUJIXCQTRT', 'FUJIXWHXDS', 'FUJIXSYXXS', 'FUJIXWHTRT', 'FUJIXSYTRT', 'FUJIXCQFJS'}",5812149.72,854854.3500000003,1104392.36,15587.080000000002,127880.35,富士施乐,"{'FUJIXWHXDS', 'FUJIXCQFJS', 'FUJIXSYXXS'}",0.0,22641.509433962263,15386.194025157232,0.0,240090.69234276726,0.0,0.0,0.0,278118.39580188674,240090.69234276726,0.8632679318120046,0.08140960747555363,0.05532246071244185,操作型
Fuji Xerox,富士施乐,2021,"{'FUJIXCQTRT', 'FUJIXWHXDS', 'FUJIXSYXXS', 'FUJIXWHTRT', 'FUJIXSYTRT', 'FUJIXCQFJS'}",5151523.11,1050061.14,691218.75,6910.779999999999,223712.17,富士施乐,"{'FUJIXWHXDS', 'FUJIXCQFJS', 'FUJIXSYXXS'}",327.90000000000003,105929.92518867925,26403.399198249215,0.0,172015.862309734,0.0,0.0,0.0,304677.0866966625,172343.76230973398,0.5656603986151411,0.34767932940800184,0.08666027197685702,操作型
Global Life Sciences Technologies,格来赛生命科技,2021,"{'CYTIVSHKQS', 'CYTIVSHTRT'}",1552325.21,310528.69999999995,79678.36000000002,533.47,72185.67,格来赛生命科技,{'CYTIVSHKQS'},0.0,91449.73584905661,0.0,0.0,288000.0,0.0,0.0,0.0,379449.7358490566,288000.0,0.7589938081141927,0.24100619188580724,0.0,操作型
HAIER,海尔,2020,{'HAIERQDJZS'},4750268.210000001,1081064.53,1235168.29,2224033.83,0.0,海尔,{'HAIERQDJZS'},122870.8046462264,92323.23999999999,0.0,0.0,0.0,0.0,0.0,0.0,215194.0446462264,122870.8046462264,0.5709767891031693,0.4290232108968307,0.0,操作型
HAIER,海尔,2021,{'HAIERQDJZS'},4975698.010000001,1101578.400000001,1082705.1,2633673.92,0.0,海尔,{'HAIERQDJZS'},203120.70342767294,22427.53,0.0,0.0,0.0,0.0,0.0,0.0,225548.23342767294,203120.70342767294,0.900564373042665,0.09943562695733499,0.0,操作型
HP Enterprise Group,惠普企业,2020,"{'HPESLBJTRT', 'HPESLBJXWS'}",551653.65,205161.729999998,122783.78,30835.5,9957.67,惠普企业,{'HPESLBJXWS'},43709.709150943396,63876.95635220126,0.0,0.0,22570.660691823898,0.0,0.0,0.0,130157.32619496855,66280.3698427673,0.5092327245835008,0.4907672754164992,0.0,操作型
HP Enterprise Group,惠普企业,2021,"{'HPESLBJTRT', 'HPESLBJXWS'}",591899.6100000001,153572.06000000003,90813.64,61859.62,56156.9,惠普企业,{'HPESLBJXWS'},83018.84083333335,30969.717584905662,0.0,0.0,30113.76320754717,0.0,0.0,0.0,144102.3216257862,113132.60404088051,0.7850852280830717,0.21491477191692815,0.0,操作型
HUAWEI,华为,2021,"{'HUAWESZLHS', 'HUAWEDGLSS', 'HUAWEDHW4S', 'HUAWEDGNHS', 'HUAWEDHWTS', 'HUAWEMAC1S', 'HUAWEDHW1S', 'HUAWETP03T', 'HUAWEMAC1T', 'HUAWEI191S', 'HUAWEDGTRD'}",80518545.12,13372876.23999999,10174707.73,-5110194.52,45123942.690000005,华为,"{'HUAWESZLHS', 'HUAWEDGLSS', 'HUAWEDHW4S', 'HUAWEDGNHS', 'HUAWEDHWTS', 'HUAWEDHW1S'}",942178.0825471698,374640.6539622641,4599935.4868667815,85565.17973218959,6653885.5537483115,106347.65242424242,0.0,0.0,12762552.609280959,7596063.636295482,0.5951837276479947,0.029354680480597944,0.3604244094180421,操作型
Hangzhou Ruitai Supply Chain Management,杭州锐太供应链管理,2021,"{'DRJATSHLXS', 'UCOHZHZLYS', 'UCOHZJXXWS'}",8116567.87,860042.22,508919.53,638345.5800000002,462670.98,杭州锐太供应链管理,"{'DRJATSHLXS', 'UCOHZHZLYS', 'UCOHZJXXWS'}",0.0,1534138.1801886794,31217.51641509434,0.0,1674367.0609613657,9946.57370596566,0.0,0.0,3249669.331271105,1674367.0609613657,0.5152422878380795,0.4720905494678755,0.00960636705854735,操作型
House Foods,好侍食品,2021,{'HOUSFSHSJS'},320982.37,11741.349999999957,10747.380000000001,56365.130000000005,0.0,好侍食品,{'HOUSFSHSJS'},0.0,0.0,459.6698113207547,0.0,45055.61855345912,12939.502358490567,0.0,0.0,58454.79072327044,45055.61855345912,0.7707771766176694,0.0,0.007863680728870755,操作型
Huan Sheng Solar,东方环晟光伏,2021,"{'HSSOLWXIHS', 'HSSOLWXTRD'}",11460110.64,938947.3100000018,433635.35,2090.0099999999998,0.0,东方环晟光伏,{'HSSOLWXIHS'},0.0,-878581.5188679246,0.0,0.0,3593504.820283019,0.0,0.0,1759184.5575221241,4474107.858937219,3593504.820283019,0.8031779594014127,-0.19637021425688722,0.0,操作型
INFINEON,英飞凌,2020,"{'INFINWXIFS', 'INFINWXWHS', 'INFINI182S'}",30776878.16,11497180.02,4603330.45,22264.490000000067,2988204.52,英飞凌,{'INFINWXIFS'},1253109.9056603773,0.0,32500.0,0.0,0.0,0.0,0.0,0.0,1285609.9056603773,1253109.9056603773,0.9747201698921993,0.0,0.02527983010780068,操作型
INFINEON,英飞凌,2021,"{'INFINWXIFS', 'INFINWXWHS', 'INFINI182S'}",12821187.88,4890906.949999999,1655434.8599999999,3000516.12,2480864.62,英飞凌,"{'INFINWXIFS', 'INFINWXWHS'}",1926276.2045749952,34481.653396226415,62562.5,0.0,0.0,0.0,0.0,0.0,2023320.3579712217,1926276.2045749952,0.9520371783865544,0.01704211261473249,0.03092070899871302,操作型
INTEL,英特尔,2020,{'INTELCDXKS'},5963250.4,751652.5899999995,603523.4299999999,6851.6800000000385,1405799.87,英特尔,{'INTELCDXKS'},141756.1006289308,0.0,37755.0,102588.95283018869,80347.87735849057,185199.65543575922,0.0,0.0,547647.5862533693,222103.9779874214,0.40556004182709005,0.0,0.06894032028570402,平衡型
